LoanID,CreditScore,CreditBand,BureauPullDate,PreviousDefaults,TotalExistingDebt,MonthlyIncome,BureauSource
LN-00001,739,Good (700-749),2019-01-28,0,181000.0,10774.0,Equifax
LN-00002,688,Fair (650-699),2018-03-23,0,145000.0,26542.0,Equifax
LN-00003,751,Excellent (750+),2019-09-30,1,5000.0,12775.0,TransUnion
LN-00004,821,Excellent (750+),2022-03-13,0,259000.0,5158.0,Experian
LN-00005,681,Fair (650-699),2022-03-24,0,204000.0,13735.0,Experian
LN-00006,681,Fair (650-699),2018-09-15,0,269000.0,23189.0,TransUnion
LN-00007,680,Fair (650-699),2022-03-15,0,44000.0,5474.0,Experian
LN-00008,761,Excellent (750+),2018-09-28,0,70000.0,9998.0,TransUnion
LN-00009,569,Poor (<650),2024-03-08,0,248000.0,23260.0,TransUnion
LN-00010,743,Good (700-749),2020-12-06,0,211000.0,20022.0,TransUnion
LN-00011,662,Fair (650-699),2020-12-10,0,119000.0,16873.0,TransUnion
LN-00012,662,Fair (650-699),2019-07-11,1,121000.0,13489.0,Equifax
LN-00013,719,Good (700-749),2022-09-14,0,47000.0,27530.0,Equifax
LN-00014,550,Poor (<650),2018-01-24,0,22000.0,4176.0,Equifax
LN-00015,562,Poor (<650),2021-04-03,1,200000.0,12406.0,TransUnion
LN-00016,655,Fair (650-699),2019-02-21,1,171000.0,9876.0,TransUnion
LN-00017,544,Poor (<650),2024-01-03,0,25000.0,10019.0,Equifax
LN-00018,725,Good (700-749),2021-05-16,2,159000.0,9872.0,Experian
LN-00019,627,Poor (<650),2018-09-25,0,209000.0,17377.0,Experian
LN-00020,587,Poor (<650),2022-09-17,0,83000.0,6266.0,Experian
LN-00021,817,Excellent (750+),2023-10-03,0,238000.0,5689.0,TransUnion
LN-00022,681,Fair (650-699),2020-06-02,0,66000.0,27703.0,Equifax
LN-00023,705,Good (700-749),2020-08-07,1,176000.0,3742.0,TransUnion
LN-00024,586,Poor (<650),2023-03-27,0,111000.0,4477.0,Equifax
LN-00025,656,Fair (650-699),2022-09-20,0,113000.0,24355.0,TransUnion
LN-00026,708,Good (700-749),2019-02-23,0,158000.0,7176.0,TransUnion
LN-00027,607,Poor (<650),2018-10-14,0,245000.0,11634.0,Equifax
LN-00028,730,Good (700-749),2020-07-27,0,67000.0,16342.0,Equifax
LN-00029,651,Fair (650-699),2017-12-12,0,10000.0,11870.0,TransUnion
LN-00030,676,Fair (650-699),2024-03-17,0,251000.0,24022.0,TransUnion
LN-00031,651,Fair (650-699),2024-01-21,0,72000.0,10141.0,Equifax
LN-00032,848,Excellent (750+),2019-09-28,1,106000.0,5005.0,Experian
LN-00033,698,Fair (650-699),2022-06-30,0,36000.0,22242.0,Experian
LN-00034,615,Poor (<650),2024-04-15,0,118000.0,26106.0,Equifax
LN-00035,765,Excellent (750+),2021-04-28,0,145000.0,26135.0,TransUnion
LN-00036,602,Poor (<650),2024-01-05,0,269000.0,16149.0,Equifax
LN-00037,716,Good (700-749),2019-10-01,0,191000.0,12171.0,TransUnion
LN-00038,550,Poor (<650),2019-02-03,0,56000.0,7942.0,TransUnion
LN-00039,593,Poor (<650),2021-02-16,0,80000.0,22893.0,Experian
LN-00040,715,Good (700-749),2018-07-21,0,115000.0,26195.0,Equifax
LN-00041,759,Excellent (750+),2020-11-20,0,54000.0,6635.0,Equifax
LN-00042,713,Good (700-749),2019-08-09,0,111000.0,20044.0,TransUnion
LN-00043,690,Fair (650-699),2018-05-25,0,57000.0,26481.0,Equifax
LN-00044,675,Fair (650-699),2022-07-05,0,98000.0,17906.0,Experian
LN-00045,581,Poor (<650),2018-03-29,0,25000.0,6302.0,Experian
LN-00046,642,Poor (<650),2020-12-16,0,109000.0,4985.0,Experian
LN-00047,663,Fair (650-699),2023-02-20,0,20000.0,19142.0,TransUnion
LN-00048,784,Excellent (750+),2018-09-22,0,268000.0,26524.0,Equifax
LN-00049,610,Poor (<650),2018-04-02,1,60000.0,8987.0,TransUnion
LN-00050,500,Poor (<650),2022-10-25,1,46000.0,9996.0,Equifax
LN-00051,725,Good (700-749),2020-01-20,2,133000.0,21797.0,Experian
LN-00052,669,Fair (650-699),2020-02-29,0,108000.0,8077.0,Experian
LN-00053,645,Poor (<650),2021-05-08,0,56000.0,25179.0,TransUnion
LN-00054,748,Good (700-749),2022-03-03,0,170000.0,20643.0,TransUnion
LN-00055,782,Excellent (750+),2021-03-01,0,267000.0,18575.0,Equifax
LN-00056,774,Excellent (750+),2019-11-18,0,44000.0,5605.0,Equifax
LN-00057,632,Poor (<650),2021-06-03,0,198000.0,21237.0,Experian
LN-00058,675,Fair (650-699),2018-10-04,0,256000.0,15139.0,Experian
LN-00059,726,Good (700-749),2018-01-15,0,206000.0,5442.0,Equifax
LN-00060,778,Excellent (750+),2023-02-26,0,10000.0,8559.0,TransUnion
LN-00061,661,Fair (650-699),2024-03-26,1,10000.0,22730.0,TransUnion
LN-00062,685,Fair (650-699),2019-10-05,0,67000.0,6492.0,TransUnion
LN-00063,611,Poor (<650),2023-10-23,0,234000.0,9753.0,Equifax
LN-00064,604,Poor (<650),2021-07-16,0,73000.0,5715.0,Equifax
LN-00065,765,Excellent (750+),2018-08-23,1,168000.0,9130.0,Experian
LN-00066,808,Excellent (750+),2018-03-08,0,167000.0,6995.0,TransUnion
LN-00067,694,Fair (650-699),2022-08-21,0,54000.0,14535.0,Experian
LN-00068,780,Excellent (750+),2022-07-06,0,264000.0,21831.0,Experian
LN-00069,728,Good (700-749),2018-04-11,1,145000.0,19929.0,TransUnion
LN-00070,648,Poor (<650),2023-01-30,0,7000.0,21660.0,Experian
LN-00071,728,Good (700-749),2023-12-22,0,175000.0,10402.0,TransUnion
LN-00072,823,Excellent (750+),2020-09-18,1,208000.0,18355.0,Experian
