LoanID,BranchID,LoanType,LoanPurpose,EmploymentType,OriginationDate,MaturityDate,OriginationYear,OriginationQtr,LoanAmount,InterestRate,TermYears,LoanOfficerID
LN-00001,BR004,Fixed 30-Year,Refinance,Salaried,2019-02-24,2049-02-24,2019,Q1-2019,306000.0,4.48,30,LO-704
LN-00002,BR014,Fixed 30-Year,Refinance,Contract,2018-04-19,2048-04-19,2018,Q2-2018,157000.0,4.53,30,LO-325
LN-00003,BR015,Fixed 15-Year,Refinance,Retired,2019-10-16,2034-10-16,2019,Q4-2019,744000.0,3.29,15,LO-384
LN-00004,BR005,Fixed 30-Year,Purchase,Retired,2022-04-06,2052-04-06,2022,Q2-2022,706000.0,3.81,30,LO-718
LN-00005,BR009,ARM 5/1,Purchase,Retired,2022-03-31,2037-03-31,2022,Q1-2022,678000.0,6.2,15,LO-949
LN-00006,BR020,ARM 5/1,Purchase,Self-Employed,2018-10-12,2033-10-12,2018,Q4-2018,377000.0,4.31,15,LO-891
LN-00007,BR010,ARM 7/1,Purchase,Retired,2022-04-06,2037-04-06,2022,Q2-2022,781000.0,8.02,15,LO-266
LN-00008,BR012,Fixed 30-Year,Refinance,Self-Employed,2018-10-20,2048-10-20,2018,Q4-2018,630000.0,7.11,30,LO-646
LN-00009,BR008,Fixed 30-Year,Purchase,Retired,2024-03-31,2054-03-31,2024,Q1-2024,391000.0,8.69,30,LO-963
LN-00010,BR002,Fixed 30-Year,Purchase,Retired,2021-01-01,2051-01-01,2021,Q1-2021,106000.0,4.98,30,LO-317
LN-00011,BR016,Fixed 30-Year,Purchase,Retired,2020-12-20,2050-12-20,2020,Q4-2020,830000.0,5.77,30,LO-864
LN-00012,BR019,Fixed 30-Year,Purchase,Salaried,2019-07-21,2049-07-21,2019,Q3-2019,558000.0,5.24,30,LO-873
LN-00013,BR002,ARM 5/1,Refinance,Contract,2022-09-26,2037-09-26,2022,Q3-2022,205000.0,4.13,15,LO-490
LN-00014,BR020,ARM 7/1,Refinance,Salaried,2018-02-17,2033-02-17,2018,Q1-2018,514000.0,8.59,15,LO-798
LN-00015,BR018,ARM 5/1,Purchase,Contract,2021-04-17,2036-04-17,2021,Q2-2021,710000.0,5.12,15,LO-103
LN-00016,BR009,ARM 7/1,Cash-Out Refinance,Retired,2019-03-12,2034-03-12,2019,Q1-2019,705000.0,6.04,15,LO-961
LN-00017,BR017,Fixed 15-Year,Home Equity,Salaried,2024-01-19,2039-01-19,2024,Q1-2024,205000.0,7.44,15,LO-713
LN-00018,BR011,Fixed 30-Year,Purchase,Self-Employed,2021-06-13,2051-06-13,2021,Q2-2021,172000.0,5.25,30,LO-999
LN-00019,BR019,ARM 7/1,Home Equity,Self-Employed,2018-10-11,2033-10-11,2018,Q4-2018,150000.0,5.92,15,LO-231
LN-00020,BR016,ARM 7/1,Home Equity,Self-Employed,2022-09-30,2037-09-30,2022,Q3-2022,215000.0,6.15,15,LO-830
