LoanID,LoanStatus,DaysDelinquent,MonthlyPayment,LastPaymentDate,DelinquencyFlag,DefaultFlag,AgingBucket
LN-00001,Current,0,1546.82,2023-07-03,0,0,0-Current
LN-00002,Current,0,798.3,2023-01-11,0,0,0-Current
LN-00003,30 DPD,44,5242.33,2021-06-05,1,0,1-30 DPD
LN-00004,Current,0,3293.68,2024-04-17,0,0,0-Current
LN-00005,Current,0,5794.87,2028-04-18,0,0,0-Current
LN-00006,Current,0,2847.55,2022-09-21,0,0,0-Current
LN-00007,Default,263,7472.66,2022-09-17,1,1,4-Default
LN-00008,Current,0,4238.05,2020-05-21,0,0,0-Current
LN-00009,90 DPD,117,3059.26,2029-11-26,1,0,3-90 DPD
LN-00010,Current,0,567.74,2024-05-28,0,0,0-Current
LN-00011,Current,0,4854.21,2025-05-21,0,0,0-Current
LN-00012,Current,0,3077.84,2022-02-19,0,0,0-Current
LN-00013,30 DPD,51,1529.75,2025-12-23,1,0,1-30 DPD
LN-00014,Current,0,5088.71,2020-08-23,0,0,0-Current
LN-00015,Current,0,5659.12,2027-04-21,0,0,0-Current
LN-00016,Current,0,5964.44,2019-11-01,0,0,0-Current
LN-00017,90 DPD,105,1893.39,2027-01-05,1,0,3-90 DPD
LN-00018,Current,0,949.79,2022-02-09,0,0,0-Current
LN-00019,Current,0,1259.31,2019-07-19,0,0,0-Current
LN-00020,Current,0,1831.76,2025-08-06,0,0,0-Current
LN-00021,30 DPD,57,3503.97,2024-02-01,1,0,1-30 DPD
LN-00022,30 DPD,50,2854.25,2025-11-20,1,0,1-30 DPD
LN-00023,30 DPD,54,5665.95,2022-11-11,1,0,1-30 DPD
LN-00024,60 DPD,89,5292.49,2024-11-16,1,0,2-60 DPD
LN-00025,Current,0,914.79,2024-05-01,0,0,0-Current
LN-00026,Current,0,4803.41,2024-08-27,0,0,0-Current
LN-00027,Current,0,1348.07,2022-12-27,0,0,0-Current
LN-00028,Current,0,8539.71,2026-07-30,0,0,0-Current
LN-00029,Current,0,6131.4,2021-04-07,0,0,0-Current
LN-00030,Current,0,4449.8,2028-07-23,0,0,0-Current
LN-00031,Current,0,5489.83,2030-02-25,0,0,0-Current
LN-00032,Current,0,4684.78,2021-10-28,0,0,0-Current
LN-00033,30 DPD,30,996.97,2025-10-22,1,0,1-30 DPD
LN-00034,Current,0,965.19,2030-09-15,0,0,0-Current
LN-00035,Current,0,2678.18,2024-12-07,0,0,0-Current
LN-00036,Current,0,3955.0,2026-11-08,0,0,0-Current
LN-00037,Current,0,6451.7,2021-04-26,0,0,0-Current
LN-00038,Current,0,3980.45,2022-09-22,0,0,0-Current
LN-00039,Current,0,5131.05,2026-07-24,0,0,0-Current
LN-00040,Current,0,2772.94,2023-09-22,0,0,0-Current
LN-00041,Current,0,1683.93,2027-05-28,0,0,0-Current
LN-00042,Current,0,1688.71,2020-08-19,0,0,0-Current
LN-00043,60 DPD,78,987.47,2021-10-15,1,0,2-60 DPD
LN-00044,30 DPD,40,3188.62,2023-05-13,1,0,1-30 DPD
LN-00045,Current,0,7162.68,2020-04-19,0,0,0-Current
LN-00046,Current,0,7408.6,2022-01-19,0,0,0-Current
LN-00047,Current,0,2464.64,2029-08-24,0,0,0-Current
LN-00048,Current,0,3172.08,2023-02-10,0,0,0-Current
LN-00049,90 DPD,114,5420.35,2024-09-13,1,0,3-90 DPD
LN-00050,Default,238,2181.94,2029-05-07,1,1,4-Default
LN-00051,Current,0,1692.66,2021-12-08,0,0,0-Current
LN-00052,30 DPD,55,4753.38,2026-06-18,1,0,1-30 DPD
LN-00053,Current,0,4596.91,2022-07-18,0,0,0-Current
LN-00054,30 DPD,35,4040.95,2026-12-31,1,0,1-30 DPD
LN-00055,Current,0,2302.24,2024-11-28,0,0,0-Current
LN-00056,Current,0,1504.35,2020-06-19,0,0,0-Current
LN-00057,Current,0,5189.53,2021-09-20,0,0,0-Current
LN-00058,Current,0,5670.76,2022-11-10,0,0,0-Current
LN-00059,Current,0,1836.6,2019-11-25,0,0,0-Current
LN-00060,Current,0,4956.35,2026-07-30,0,0,0-Current
LN-00061,60 DPD,82,4863.75,2028-10-08,1,0,2-60 DPD
LN-00062,Current,0,4782.5,2023-03-15,0,0,0-Current
LN-00063,30 DPD,36,5993.44,2027-10-20,1,0,1-30 DPD
LN-00064,Current,0,1636.08,2025-05-22,0,0,0-Current
LN-00065,Current,0,4379.01,2021-09-03,0,0,0-Current
LN-00066,Current,0,1428.9,2023-02-23,0,0,0-Current
LN-00067,Current,0,2636.59,2028-05-12,0,0,0-Current
LN-00068,Current,0,2681.13,2024-01-28,0,0,0-Current
LN-00069,Current,0,7182.46,2023-10-17,0,0,0-Current
LN-00070,Current,0,1581.85,2026-07-16,0,0,0-Current
LN-00071,Current,0,648.66,2027-01-04,0,0,0-Current
LN-00072,Current,0,5657.02,2022-11-24,0,0,0-Current
LN-00073,60 DPD,85,2202.05,2020-12-02,1,0,2-60 DPD
LN-00074,Current,0,3986.2,2023-12-28,0,0,0-Current
LN-00075,Current,0,7297.74,2027-08-12,0,0,0-Current
LN-00076,Current,0,4337.4,2022-06-23,0,0,0-Current
LN-00077,Current,0,3003.7,2024-10-26,0,0,0-Current
LN-00078,Current,0,1647.45,2025-12-26,0,0,0-Current
LN-00079,30 DPD,53,2824.63,2028-01-09,1,0,1-30 DPD
LN-00080,30 DPD,42,5611.37,2023-03-22,1,0,1-30 DPD
LN-00081,Current,0,4998.96,2028-08-14,0,0,0-Current
LN-00082,30 DPD,58,1530.26,2024-10-08,1,0,1-30 DPD
LN-00083,30 DPD,45,4437.09,2024-01-16,1,0,1-30 DPD
LN-00084,Current,0,1751.9,2024-11-07,0,0,0-Current
LN-00085,30 DPD,56,3940.4,2026-06-12,1,0,1-30 DPD
LN-00086,30 DPD,32,886.87,2020-05-30,1,0,1-30 DPD
LN-00087,Current,0,2672.61,2026-04-05,0,0,0-Current
