LoanID,PropertyType,PropertyValue,LTV,LTV_Band,PropertyState,AppraisalDate,AppraiserID,ZestimateValue
LN-00001,Townhouse,403000.0,0.76,Medium (70-85%),NJ,2019-01-10,AP-83,420000.0
LN-00002,Multi-Family,221000.0,0.71,Medium (70-85%),MD,2018-02-04,AP-70,214000.0
LN-00003,Townhouse,783000.0,0.95,High (>85%),CA,2019-07-29,AP-70,791000.0
LN-00004,Townhouse,1009000.0,0.7,Low (<70%),IL,2022-01-15,AP-53,1035000.0
LN-00005,Townhouse,892000.0,0.76,Medium (70-85%),IL,2022-01-07,AP-25,883000.0
LN-00006,Multi-Family,618000.0,0.61,Low (<70%),NV,2018-08-18,AP-10,605000.0
LN-00007,Single Family,849000.0,0.92,High (>85%),FL,2022-03-02,AP-94,835000.0
LN-00008,Condo,1125000.0,0.56,Low (<70%),OH,2018-09-17,AP-96,1158000.0
LN-00009,Townhouse,674000.0,0.58,Low (<70%),NV,2024-02-02,AP-41,704000.0
LN-00010,Condo,149000.0,0.71,Medium (70-85%),NY,2020-12-02,AP-52,146000.0
LN-00011,Condo,865000.0,0.96,High (>85%),CA,2020-10-13,AP-77,894000.0
LN-00012,Multi-Family,946000.0,0.59,Low (<70%),CA,2019-05-07,AP-81,944000.0
LN-00013,Single Family,325000.0,0.63,Low (<70%),MD,2022-07-02,AP-26,336000.0
LN-00014,Condo,547000.0,0.94,High (>85%),NJ,2018-01-14,AP-27,555000.0
LN-00015,Condo,1092000.0,0.65,Low (<70%),MA,2021-02-13,AP-53,1087000.0
LN-00016,Townhouse,829000.0,0.85,Medium (70-85%),MA,2018-12-31,AP-63,836000.0
LN-00017,Single Family,289000.0,0.71,Medium (70-85%),CA,2023-12-08,AP-39,300000.0
LN-00018,Townhouse,246000.0,0.7,Low (<70%),NY,2021-04-11,AP-17,240000.0
LN-00019,Townhouse,268000.0,0.56,Low (<70%),MD,2018-07-31,AP-76,264000.0
LN-00020,Multi-Family,224000.0,0.96,High (>85%),NC,2022-07-17,AP-22,229000.0
LN-00021,Multi-Family,1107000.0,0.57,Low (<70%),CA,2023-08-26,AP-99,1156000.0
LN-00022,Condo,631000.0,0.89,High (>85%),OH,2020-03-29,AP-35,628000.0
LN-00023,Single Family,1377000.0,0.57,Low (<70%),PA,2020-07-26,AP-50,1341000.0
LN-00024,Single Family,1389000.0,0.61,Low (<70%),PA,2023-02-17,AP-99,1386000.0
LN-00025,Condo,167000.0,0.95,High (>85%),GA,2022-08-10,AP-14,163000.0
LN-00026,Multi-Family,1110000.0,0.61,Low (<70%),NY,2019-01-23,AP-24,1090000.0
LN-00027,Townhouse,288000.0,0.8,Medium (70-85%),NV,2018-08-18,AP-69,302000.0
LN-00028,Multi-Family,1199000.0,0.73,Medium (70-85%),AZ,2020-07-19,AP-50,1192000.0
LN-00029,Single Family,1079000.0,0.76,Medium (70-85%),AZ,2017-11-09,AP-29,1117000.0
LN-00030,Townhouse,1067000.0,0.61,Low (<70%),MA,2024-02-06,AP-29,1049000.0
LN-00031,Condo,1016000.0,0.86,High (>85%),NJ,2023-12-16,AP-79,1028000.0
LN-00032,Townhouse,879000.0,0.56,Low (<70%),FL,2019-08-07,AP-97,862000.0
LN-00033,Townhouse,158000.0,0.86,High (>85%),NY,2022-04-18,AP-64,162000.0
LN-00034,Condo,167000.0,0.88,High (>85%),NV,2024-02-06,AP-59,174000.0
LN-00035,Single Family,686000.0,0.59,Low (<70%),FL,2021-02-24,AP-27,677000.0
LN-00036,Condo,732000.0,0.74,Medium (70-85%),MA,2023-10-17,AP-21,726000.0
LN-00037,Condo,890000.0,0.9,High (>85%),CA,2019-09-06,AP-89,900000.0
LN-00038,Townhouse,882000.0,0.85,Medium (70-85%),IL,2019-01-09,AP-68,877000.0
LN-00039,Condo,1044000.0,0.66,Low (<70%),NC,2020-12-19,AP-47,1014000.0
LN-00040,Condo,440000.0,0.65,Low (<70%),OH,2018-06-12,AP-77,460000.0
